Song_Id,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2314,40.0,19.0,29.0,86.0,0.0,34.0,10.101545253863135
2319,74.0,75.0,73.0,42.0,1.6225165562913908,9.0,4.0
2321,73.0,65.0,79.0,5.0,2.0,11.0,6.0
2323,66.0,68.0,67.0,38.0,0.0,22.0,4.0
2327,60.0,68.0,84.0,4.0,0.0,24.0,11.0
2328,57.5,66.5,65.6218302094818,62.0,0.8112582781456954,10.5,21.5
2331,81.0,63.0,68.0,11.0,0.0,11.0,4.0
2332,46.0,53.0,63.0,5.0,0.0,30.0,18.0
2338,67.0,37.0,46.0,26.994487320837926,0.0,10.0,39.0
2350,46.0,62.0,83.0,53.0,0.0,18.118101545253865,28.0
2351,74.0,68.0,68.0,3.0,0.0,26.0,4.0
2355,57.0,51.439293598233995,27.0,84.0,0.0,9.0,3.0
2356,62.0,25.0,44.0,51.0,33.0,18.118101545253865,3.0
2357,73.0,59.0,81.0,13.0,0.0,9.0,6.0
2358,90.0,40.0,59.0,0.0,0.0,10.0,29.0
2359,79.0,22.0,55.0,31.0,0.0,12.0,5.0
2360,81.0,64.0,79.0,5.0,0.0,31.0,3.0
2363,86.0,91.0,79.0,29.0,0.0,60.0,16.0
2367,66.94701986754967,21.0,52.0,28.0,0.0,9.0,3.0
2370,73.0,68.0,83.0,55.0,0.0,90.0,10.101545253863135
2374,68.0,81.5,74.5,43.5,0.0,54.55905077262693,3.5
2376,75.0,48.0,53.0,18.0,0.0,18.0,34.0
2379,70.0,58.0,57.0,25.0,0.0,15.0,7.0
2380,66.0,48.0,71.0,6.0,0.0,12.0,4.0
2387,67.0,81.0,36.0,64.0,0.0,15.0,3.0
2403,80.0,71.0,68.0,6.0,0.0,10.0,37.0
2405,57.0,23.0,66.0,4.0,1.6225165562913908,15.0,4.0
2413,64.0,10.0,62.0,7.0,0.0,48.0,7.0
2417,82.0,54.0,59.0,69.0,0.0,18.0,10.0
2421,77.0,78.0,91.0,14.0,0.0,33.0,12.0
2423,73.0,45.0,62.0,28.0,0.0,13.0,13.0
2427,66.94701986754967,13.0,54.0,70.0,0.0,9.0,4.0
2428,52.0,24.0,60.0,0.0,0.0,8.0,3.0
2433,77.0,26.0,63.0,58.0,0.0,11.0,5.0
2434,81.0,45.5,54.5,3.5,0.0,24.5,33.0
2435,70.0,34.0,55.0,43.0,0.0,16.0,6.0
2437,70.0,22.0,61.0,2.0,0.0,10.0,34.0
2441,58.0,29.0,94.0,0.0,0.0,9.0,11.0
2444,80.0,51.439293598233995,62.0,41.0,2.0,18.118101545253865,23.0
2446,57.0,51.439293598233995,59.0,8.0,0.0,6.0,10.101545253863135
2448,74.0,35.0,73.0,0.0,0.0,21.0,5.0
2456,54.5,54.5,42.5,45.0,0.0,19.5,4.5
2457,71.33333333333333,65.0,70.66666666666667,12.333333333333334,0.5408388520971302,14.333333333333334,5.666666666666667
2461,74.0,51.0,74.0,2.0,0.0,29.0,4.0
2463,53.0,12.0,34.0,1.0,0.0,12.0,4.0
2469,91.0,42.0,60.0,0.0,0.0,18.118101545253865,12.0
2473,50.0,39.0,64.24366041896361,4.0,0.0,11.0,33.0
2475,61.0,92.0,91.0,0.0,0.0,26.0,3.0
2483,75.0,11.0,50.0,20.0,0.0,30.0,10.101545253863135
2484,62.0,19.0,53.0,11.0,0.0,6.0,4.0
2485,73.0,65.0,91.0,4.0,0.0,48.0,18.0
2487,72.0,78.0,68.0,26.994487320837926,0.0,11.0,12.0
2489,79.0,60.0,68.0,7.0,0.0,26.0,4.0
2491,85.0,83.0,68.0,7.0,1.6225165562913908,36.0,20.0
2497,96.0,71.0,42.0,57.0,0.0,8.0,9.0
2505,79.0,96.0,86.0,9.0,0.0,9.0,9.0
2509,59.0,70.0,74.0,56.0,1.6225165562913908,11.0,40.0
2511,56.0,43.0,53.0,24.0,0.0,12.0,4.0
2513,77.0,74.0,74.0,47.0,0.0,34.0,8.0
2516,66.5,59.0,63.5,27.5,0.0,9.5,4.5
2527,66.94701986754967,78.0,57.0,46.0,0.0,14.0,9.0
2528,49.0,49.0,59.0,44.0,0.0,35.0,21.0
2529,61.0,53.0,38.0,84.0,0.0,18.118101545253865,44.0
2531,60.0,52.0,64.24366041896361,17.0,0.0,19.0,5.0
2535,56.0,51.439293598233995,90.0,36.0,0.0,18.0,31.0
2540,65.0,47.5,46.5,48.5,0.0,24.559050772626932,8.0
2541,66.94701986754967,54.0,71.0,0.0,0.0,33.0,4.0
2543,66.0,47.0,40.0,72.0,0.0,11.0,3.0
2544,77.0,51.439293598233995,87.0,2.0,0.0,23.0,12.0
2545,49.0,42.0,62.0,9.0,0.0,11.0,3.0
2546,68.0,24.0,58.0,44.0,0.0,6.0,10.101545253863135
2555,57.0,40.666666666666664,53.333333333333336,57.99816244027931,5.666666666666667,10.0,6.7005150846210455
2556,66.94701986754967,23.0,48.0,14.0,0.0,18.118101545253865,5.0
2557,43.0,50.0,55.0,50.0,0.0,15.0,10.0
2561,61.0,59.0,46.0,56.0,0.0,18.118101545253865,5.0
2564,88.0,8.0,49.0,9.0,0.0,9.0,14.0
2566,53.0,32.0,66.0,38.0,0.0,9.0,3.0
2567,65.0,80.0,86.0,9.0,0.0,19.0,10.0
2573,67.0,8.0,54.0,27.0,0.0,8.0,4.0
2575,83.0,41.0,65.0,0.0,10.0,11.0,8.0
2577,47.0,44.0,76.0,8.0,91.0,9.0,3.0
2582,66.5,53.5,43.5,49.0,0.0,21.5,5.0
2588,80.0,69.0,78.0,28.0,0.0,11.0,14.0
2589,64.0,44.0,65.0,28.0,0.0,18.118101545253865,12.0
2592,62.0,24.0,67.0,21.0,0.0,13.0,28.0
2595,64.0,39.5,40.0,50.5,0.0,10.5,6.5
2596,57.0,86.0,90.0,2.0,0.0,9.0,5.0
2598,71.0,55.0,44.0,74.0,0.0,11.0,6.0
2613,66.94701986754967,57.0,63.0,40.0,1.0,10.0,4.0
2614,59.0,72.0,62.0,18.0,1.6225165562913908,9.0,10.101545253863135
2619,89.0,75.0,70.0,6.0,0.0,13.0,5.0
2622,62.0,55.0,78.0,1.0,3.0,23.0,4.0
2625,63.0,56.0,43.0,24.0,0.0,18.118101545253865,23.0
2641,32.0,17.0,74.0,26.994487320837926,0.0,17.0,3.0
2643,54.0,45.0,79.0,1.0,0.0,17.0,5.0
2645,73.0,14.0,57.0,40.0,0.0,11.0,5.0
2646,53.0,66.0,78.0,0.0,0.0,16.0,5.0
2649,66.0,76.0,82.0,47.0,0.0,10.0,32.0
2650,71.0,58.0,70.0,30.0,0.0,32.0,19.0
2659,79.0,68.0,79.0,1.0,0.0,10.0,8.0
2663,78.0,47.0,70.0,18.0,0.0,15.0,9.0
2667,73.0,37.0,74.0,28.0,0.0,14.0,6.0
2675,62.0,57.0,59.0,3.0,0.0,38.0,3.0
2678,70.0,87.0,88.0,4.0,0.0,26.0,8.0
2682,35.0,23.0,61.0,23.0,0.0,19.0,6.0
2684,34.0,22.0,31.0,43.0,63.0,18.118101545253865,7.0
2685,91.0,73.0,72.0,13.0,0.0,9.0,15.0
2688,72.5,51.0,69.6218302094818,5.5,0.0,36.0,18.5
2690,50.0,45.0,41.0,75.0,0.0,11.0,3.0
2691,71.0,42.0,54.5,48.0,2.0,15.0,3.5
2694,54.0,38.0,84.5,6.5,0.0,11.559050772626932,5.5
2695,56.0,72.0,85.0,0.0,0.0,15.0,3.0
2696,69.5,43.0,85.0,0.5,0.0,10.0,9.0
2699,31.0,30.0,88.0,7.0,0.0,8.0,8.0
2703,78.0,20.0,70.0,1.0,0.0,16.0,4.0
2707,66.94701986754967,49.0,59.0,16.0,0.0,13.0,10.101545253863135
2708,67.0,26.0,71.0,37.0,0.0,11.0,4.0
2709,89.0,67.0,78.0,9.0,0.0,7.0,33.0
2711,65.0,52.0,69.0,31.0,0.0,8.0,36.0
2717,56.0,56.0,63.0,13.0,0.0,19.0,27.0
2718,80.0,74.0,77.0,36.0,0.0,11.0,4.0
2719,72.64900662251655,34.333333333333336,46.08122013965453,45.333333333333336,0.0,17.0,9.333333333333334
