Song_Id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2098,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27.0,98,C#,Minor,71.0,17.0,61.0,36.0,0.0,8.0,5.0
4039,Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310.0,97,E,Major,64.0,51.0,63.0,12.0,0.0,19.0,5.0
3813,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354.0,180,E,Minor,72.0,61.0,63.0,67.0,0.0,9.0,28.0
2331,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184.0,120,Unknown,Major,81.0,63.0,68.0,11.0,0.0,11.0,4.0
4748,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212.0,150,F#,Major,61.0,39.0,64.24366041896361,37.0,0.0,11.0,3.0
3172,Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81.0,96,F,Major,75.0,51.439293598233995,64.24366041896361,9.0,0.0,13.0,6.0
3831,Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82.0,95,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0
2095,TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100.0,125,F,Minor,82.5,69.0,78.5,43.0,0.0,10.0,14.550772626931568
2074,El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62.0,144,A,Minor,55.5,65.0,64.5,11.5,0.0,13.5,8.0
4829,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69.0,90,D,Major,76.0,91.0,50.0,54.0,0.0,7.0,5.0
3843,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727.0,128,G,Minor,56.0,38.0,97.0,4.0,0.0,35.0,4.0
3825,See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311.0,79,F#,Major,56.0,58.0,56.0,37.0,0.0,11.0,10.0
4514,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65,16,1133.0,144,Unknown,Major,84.5,53.0,73.5,27.5,0.0,15.5,25.0
4699,Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102.0,122,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0
3099,I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332.0,140,Unknown,Major,71.0,82.0,81.0,11.0,0.0,6.0,5.0
2749,Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259.0,134,C#,Minor,59.0,51.0,52.0,9.0,0.0,15.0,7.0
2707,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,2445,1,140.0,186,G,Major,66.94701986754967,49.0,59.0,16.0,0.0,13.0,10.101545253863135
4830,Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74,1,16.0,67,C#,Minor,53.0,50.0,53.0,23.0,0.0,44.0,7.0
2955,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110.0,106,A#,Minor,82.0,35.0,63.0,7.0,0.0,36.5,7.5
3458,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810.0,128,G,Major,60.0,23.0,91.0,0.0,0.0,12.0,3.0
4096,AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176.0,107,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0
3103,(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0.0,130,G,Minor,66.94701986754967,66.0,65.0,5.0,0.0,25.0,14.0
2427,Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,3394,19,0.0,123,E,Minor,66.94701986754967,13.0,54.0,70.0,0.0,9.0,4.0
3432,Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,3421,20,0.0,171,C#,Major,50.0,38.0,80.0,0.0,0.0,9.0,7.0
3707,Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615.0,137,G,Minor,67.97350993377484,85.0,74.0,28.5,0.0,11.5,4.0
4045,La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210.0,125,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,10.101545253863135
3414,cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215.0,130,Unknown,Minor,61.0,51.439293598233995,58.0,55.0,0.0,27.0,4.0
3085,Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73,4,167.0,130,B,Major,86.0,59.0,96.0,50.0,1.6225165562913908,9.0,5.0
2218,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37.0,133,F,Major,70.0,86.0,81.0,25.0,0.0,25.0,5.0
4076,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,0,4,0,0.0,101,D,Major,77.0,61.719646799117,71.5,43.5,0.0,15.0,3.5
3985,BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0,82,121,182,12,171.0,95,F,Minor,77.0,53.0,64.0,74.0,0.0,17.0,14.0
2358,Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16.0,98,C#,Minor,90.0,40.0,59.0,0.0,0.0,10.0,29.0
2413,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272.0,90,G#,Major,64.0,10.0,62.0,7.0,0.0,48.0,7.0
2852,People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529.0,198,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0
4594,Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31,1,26.0,140,C#,Major,56.0,48.0,73.0,0.0,0.0,35.0,4.0
2011,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5.0,82,G#,Major,51.0,22.0,64.24366041896361,1.0,0.0,15.0,3.0
4507,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58,3,169.0,130,C#,Minor,77.0,84.0,89.0,17.0,0.0,43.0,5.0
3869,Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,0.0,81,B,Major,76.0,53.0,53.0,44.0,0.0,9.0,9.0
4063,golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230.0,94,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0
